impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway,setup,1,85.36,173.27,224.56,2.31,113.6
rushway,setup,2,116.24,202.34,201.99,2.12,123.5
rushway,setup,3,89.58,216.04,197.17,2.41,127.6
rushway,setup,4,97.1,170.92,169.81,2.73,150
rushway,setup,5,89.56,174.93,169.03,2.5,142.1
sing-box,setup,1,262.95,173.48,264.82,1.27,78.9
sing-box,setup,2,208.42,288.29,256.97,1.28,81.8
sing-box,setup,3,102.04,322.46,324.37,1.12,81.4
sing-box,setup,4,259.06,324.41,344.05,1.23,81.6
sing-box,setup,5,81.43,256.05,241.41,1.38,81
rushway,steady,1,65.98,168.52,175.86,2.59,141.2
rushway,steady,2,83.34,197.38,171.29,2.58,152.2
rushway,steady,3,98.28,156.71,97.74,3.03,155.6
rushway,steady,4,90.43,259.51,227.31,2.42,151
rushway,steady,5,98,189,219.15,2.2,147.8
sing-box,steady,1,110.36,322.21,287.52,1.27,80.2
sing-box,steady,2,99.71,307.53,283.87,1.22,81
sing-box,steady,3,81.33,301.4,287.47,1.47,80.4
sing-box,steady,4,274.6,327.03,265.75,1.58,77.8
sing-box,steady,5,187.63,321.09,277.69,1.62,80.7
