impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway_base,setup,1,87.79,248.91,305.38,1.92,107.7
rushway_r2c,setup,1,50.08,314.14,327.53,2.05,118.4
rushway_r2c,setup,2,79.82,229.73,269.47,2.05,124.2
rushway_base,setup,2,105.34,334.78,322.08,1.97,89.4
rushway_base,setup,3,79.91,266.41,314.67,1.81,109.3
rushway_r2c,setup,3,132.55,319.22,282.7,1.77,103
rushway_r2c,setup,4,163.36,246.77,291.98,1.61,95.5
rushway_base,setup,4,115.81,253.91,241.67,1.77,131.8
rushway_base,setup,5,134.41,192.45,184.11,2.61,129.8
rushway_r2c,setup,5,60.52,248.64,266.6,1.89,98.7
rushway_r2c,setup,6,79.44,279.41,248.36,1.83,94.8
rushway_base,setup,6,181.45,262.04,290.7,2.05,118
rushway_base,setup,7,75.85,184.17,309.33,2.19,121.7
rushway_r2c,setup,7,62.88,328.12,310.05,1.91,91
rushway_r2c,setup,8,88.58,355.67,344.35,1.89,81.2
rushway_base,setup,8,126.27,265.6,247.22,1.69,137
rushway_base,steady,1,62.12,281.96,239.59,1.84,160.2
rushway_r2c,steady,1,59.67,294.04,238.11,2.05,140.7
rushway_r2c,steady,2,66.64,282.52,315.07,1.8,149
rushway_base,steady,2,72.48,227.44,288.66,2.23,141.2
rushway_base,steady,3,136.28,181.81,261.54,2.09,139.6
rushway_r2c,steady,3,94.42,265.1,281.62,1.95,143.9
rushway_r2c,steady,4,64.37,274.72,305.26,1.94,140.8
rushway_base,steady,4,95.64,282.03,320.86,1.95,108.5
rushway_base,steady,5,63.24,221.79,253.92,2.52,145.6
rushway_r2c,steady,5,135.55,342.78,324.83,1.64,80.6
rushway_r2c,steady,6,88.15,348.07,326.04,2.06,115.1
rushway_base,steady,6,73.95,260.99,333.75,1.86,120.8
rushway_base,steady,7,116.24,346.93,320.65,1.88,107.5
rushway_r2c,steady,7,155.29,294.73,353.57,1.91,89.1
rushway_r2c,steady,8,130.18,302.98,321.39,1.89,100.9
rushway_base,steady,8,53.25,264.17,312.24,1.88,136.4
