impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway_base,setup,1,163.4,349.3,301.17,1.95,139.7
rushway_r3d,setup,1,124.02,382.73,377.07,1.83,98.9
rushway_r3d,setup,2,196.74,383.11,367.12,1.91,115.9
rushway_base,setup,2,94.37,367.74,354.67,2.05,126.3
rushway_base,setup,3,199.68,335.75,351.95,1.73,136.1
rushway_r3d,setup,3,114.95,403.24,372.3,1.78,125.9
rushway_r3d,setup,4,227.98,373.64,370.51,1.83,143.7
rushway_base,setup,4,55.31,348.87,359.63,1.94,88.4
rushway_base,setup,5,80.37,341.02,342.58,1.95,82.7
rushway_r3d,setup,5,173.64,400.92,381.24,1.97,135.2
rushway_r3d,setup,6,92.15,357.31,390.25,1.72,96.6
rushway_base,setup,6,113.96,347.37,348.58,2.02,101
rushway_base,setup,7,47.09,328.37,332.9,1.64,93.8
rushway_r3d,setup,7,77.17,364.31,366.9,2.02,116.3
rushway_r3d,setup,8,122.47,419.98,373.93,1.81,127.5
rushway_base,setup,8,172.38,346.1,344.42,1.94,108.7
rushway_base,steady,1,104.85,345.27,357.55,2.03,86.1
rushway_r3d,steady,1,142.54,412.45,384.46,1.75,99.7
rushway_r3d,steady,2,103.46,411.74,368.28,1.88,91.8
rushway_base,steady,2,72.94,318.23,361.86,1.83,99.5
rushway_base,steady,3,74.49,324.41,336.91,2.2,86
rushway_r3d,steady,3,217.04,364.11,373.72,1.86,100.5
rushway_r3d,steady,4,97.53,366.06,378.45,1.88,92
rushway_base,steady,4,96.33,323.04,357.44,2.11,105.9
rushway_base,steady,5,181.44,311.25,340.4,2.06,105.2
rushway_r3d,steady,5,97.66,375.16,365.77,1.77,101.6
rushway_r3d,steady,6,78.84,374.94,372.63,1.78,90.8
rushway_base,steady,6,127.77,312.51,345.89,2.08,82.8
rushway_base,steady,7,123.14,341.05,349.08,1.89,72.6
rushway_r3d,steady,7,143.62,395.51,371.93,1.72,125.4
rushway_r3d,steady,8,151.29,367.02,369.22,1.83,89.6
rushway_base,steady,8,83.59,300.09,350.18,1.8,100.9
