impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway_base,setup,1,142.24,336.53,302.57,1.84,154.7
rushway_r4,setup,1,84.2,223.37,317.17,1.75,131.7
rushway_r4,setup,2,153.12,285.38,318.81,1.64,69
rushway_base,setup,2,127.44,279.5,302.47,1.58,54.5
rushway_base,setup,3,163.32,316.77,290.16,1.72,146.8
rushway_r4,setup,3,166.65,296.34,270.57,1.67,122.7
rushway_r4,setup,4,172.57,267.46,289.56,2.03,158.4
rushway_base,setup,4,129.43,292.07,298.07,1.88,149.9
rushway_base,setup,5,128.92,272.3,297.15,1.78,103.5
rushway_r4,setup,5,96.55,273.82,285.78,1.95,95.5
rushway_r4,setup,6,109.5,284.17,273.78,1.95,96.6
rushway_base,setup,6,145.69,279,254.03,1.83,126.5
rushway_base,setup,7,97.89,295.62,286.58,1.7,128.7
rushway_r4,setup,7,109.83,214.57,219.81,2.2,163.3
rushway_r4,setup,8,120.53,232.69,219.8,2.03,160.9
rushway_base,setup,8,128.89,205.79,216.75,2.27,171.6
rushway_base,steady,1,166.64,135.91,179.41,2.23,158.3
rushway_r4,steady,1,61.06,195.94,187.85,2.2,131.7
rushway_r4,steady,2,110.45,208.56,203.07,2.42,154.7
rushway_base,steady,2,107.26,216.02,192.71,2.19,162.8
rushway_base,steady,3,75.3,301.75,337.49,1.78,131.5
rushway_r4,steady,3,57.1,279.59,311.08,1.83,151.9
rushway_r4,steady,4,90.1,311.77,327.62,1.86,123.5
rushway_base,steady,4,97.53,278.3,296.2,1.91,158.5
rushway_base,steady,5,156,363.97,241.08,1.8,127
rushway_r4,steady,5,106.03,332.41,341.81,1.86,118.8
rushway_r4,steady,6,105.58,292.44,272.48,2,143.7
rushway_base,steady,6,100.62,261.45,319.75,2.05,132.1
rushway_base,steady,7,190.49,391.45,356.99,1.7,79.9
rushway_r4,steady,7,144.03,369.25,275.72,1.88,142.7
rushway_r4,steady,8,74.27,294.1,360.89,1.86,107.7
rushway_base,steady,8,123.69,377.56,356.85,1.86,94.8
