impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway,setup,1,22.59,19.65,16.14,5.8,150.9
rushway,setup,2,18.92,22.22,17.66,5.45,161.1
rushway,setup,3,25.33,21.53,16.76,5.93,152.6
rushway,setup,4,22.65,20.46,17.22,5.42,157.5
rushway,setup,5,27.56,21.33,16.51,5.73,151.7
goway,setup,1,20.73,20.97,17.28,9.12,120.2
goway,setup,2,19.75,20.66,17.42,9.63,80.5
goway,setup,3,21.69,19,15.51,10.46,81.1
goway,setup,4,20.83,20.72,17.86,8.92,82.1
goway,setup,5,20.88,20.07,16.48,9.62,82
sing-box,setup,1,18.41,17.44,15.66,9.63,109.8
sing-box,setup,2,23.2,18.22,15.65,9.5,106.3
sing-box,setup,3,22.26,18.9,15.46,9.66,105.6
sing-box,setup,4,20.07,16.91,14.39,10.92,105.1
sing-box,setup,5,21.36,17.51,13.77,10.69,106.2
xray,setup,1,20.72,15.8,13.95,12.47,68.6
xray,setup,2,17.54,15.65,14.55,11.94,68.6
xray,setup,3,22.2,15.25,15.09,11.61,67.9
xray,setup,4,17.04,16,12.73,12.43,69.3
xray,setup,5,23.06,16.38,13.96,12.18,68.1
rushway,steady,1,19.47,20.36,17.36,5.51,156.7
rushway,steady,2,19.47,21.52,17.19,5.25,157.3
rushway,steady,3,20.17,20.54,18.92,5.23,147.8
rushway,steady,4,23.66,22.84,18.64,5.35,153.8
rushway,steady,5,20.07,23.52,19.8,5.14,151.4
goway,steady,1,18.81,19.36,17.39,10.85,84.4
goway,steady,2,17.92,19.05,16.2,10.33,85.4
goway,steady,3,13.02,18.2,17.76,10.8,93.2
goway,steady,4,20.56,21.72,16.75,8.76,85.9
goway,steady,5,16.54,17.85,15.11,11.17,82.8
sing-box,steady,1,21.68,18.08,14.75,10.19,105.6
sing-box,steady,2,21.49,17.63,14.69,10.35,105.3
sing-box,steady,3,15.82,19.62,14.3,10.17,104.8
sing-box,steady,4,17.71,16.12,12.61,10.82,105.4
sing-box,steady,5,22.16,14.78,14.35,11.04,106.2
xray,steady,1,22.28,17.73,14.46,10.95,68.8
xray,steady,2,18.79,16.26,15.26,11.84,68.2
xray,steady,3,21.71,18.62,15.04,11.36,69
xray,steady,4,21.62,13.99,14.82,12.02,69.1
xray,steady,5,17.65,18.25,15.05,11.55,68.5
