impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
goway_base,setup,1,239.24,182.66,203.5,2.36,93.1
goway_w3,setup,1,113.68,198.96,193.97,2.23,96.5
goway_w3,setup,2,300.01,302.9,293.46,1.77,86.3
goway_base,setup,2,373.56,275.27,279.1,2.17,95.9
goway_base,setup,3,284.12,293.93,270.16,1.92,89.4
goway_w3,setup,3,333.15,200.9,194.17,2.16,94.1
goway_w3,setup,4,95.12,186.75,197.71,2.56,90.5
goway_base,setup,4,94.13,171.37,159.8,2.2,89.3
goway_base,setup,5,273.81,176.36,202.63,2.06,88.2
goway_w3,setup,5,211.77,288.4,277.25,1.95,86.6
goway_w3,setup,6,148.72,302.79,295.42,1.77,84.8
goway_base,setup,6,130.28,195.86,203.17,2.2,85.4
goway_base,setup,7,104.62,218.36,198.15,2.16,85.7
goway_w3,setup,7,135.07,213.89,183.49,2.41,91.1
goway_w3,setup,8,213.37,159.51,180.34,2.55,100.3
goway_base,setup,8,131.19,212.77,253.33,1.92,89.1
goway_base,setup,9,251.13,285.71,282.11,1.81,90.6
goway_w3,setup,9,107.55,269.61,277.65,1.95,90.9
goway_w3,setup,10,275.38,200.27,198.65,2.5,99.2
goway_base,setup,10,188.41,197.53,189.94,2.09,89.3
goway_base,steady,1,136.42,191.19,197.01,2.23,90.7
goway_w3,steady,1,150,188.86,196.47,2.09,99.6
goway_w3,steady,2,393.82,181.66,201.64,2.16,98.2
goway_base,steady,2,170.05,307.54,273.99,1.55,91.9
goway_base,steady,3,292.75,309.61,282.7,1.77,92.4
goway_w3,steady,3,353.75,214.26,193.1,2.16,107
goway_w3,steady,4,183.56,190.77,197.2,2.06,89.7
goway_base,steady,4,119.22,213.32,197.21,2.19,93.5
goway_base,steady,5,257.89,123.65,177.99,2.28,84
goway_w3,steady,5,325.09,297.48,266.23,1.8,88.6
goway_w3,steady,6,264.96,276.65,272.15,1.88,86.8
goway_base,steady,6,366.68,278.78,264.12,1.73,87.3
goway_base,steady,7,138.79,213.23,189.79,2.12,91.6
goway_w3,steady,7,188.3,193.08,189.76,2.19,94.2
goway_w3,steady,8,203.04,213.53,190.13,2.16,87.6
goway_base,steady,8,181.91,201.02,180.18,1.97,84.1
goway_base,steady,9,438.69,274.67,280.7,1.89,88.9
goway_w3,steady,9,351.5,295.41,256.1,1.61,95.6
goway_w3,steady,10,342.89,213.33,195.54,2.05,96.5
goway_base,steady,10,271.36,200.23,189.42,2.27,91.7
