impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway,setup,1,73.09,136.07,150.41,2.69,82.6
rushway,setup,2,36.2,136.63,178.37,2.62,84.5
rushway,setup,3,74.81,178.66,191.81,2.53,80.8
rushway,setup,4,118.22,160.69,141.57,2.91,78.5
rushway,setup,5,78.61,164.68,156.71,2.61,83.9
goway,setup,1,195.91,190.38,186.69,2.34,110.4
goway,setup,2,190.36,165.05,176.29,2.64,106.5
goway,setup,3,151.68,238.24,240.63,1.95,104.2
goway,setup,4,125.08,236.24,218.57,2.11,107.7
goway,setup,5,244.44,240.18,190.15,2.02,110.7
rushway,steady,1,72.46,122.77,127.53,3.17,85.8
rushway,steady,2,64.29,99.91,98.38,3.53,83.2
rushway,steady,3,55.98,103.2,104.72,3.53,85.4
rushway,steady,4,85.11,131.19,132.87,3.17,81.4
rushway,steady,5,120,120.31,105.45,3.86,84.8
goway,steady,1,93.64,77.71,95.06,2.98,117.4
goway,steady,2,77.42,121.05,142,2.2,102.4
goway,steady,3,211.77,202.21,194.34,1.98,119
goway,steady,4,405.56,238.78,154.63,1.73,114.7
goway,steady,5,44.9,84.96,160.31,2.28,109.5
