impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
rushway,setup,1,137.6,223.69,196.28,2.45,128.6
rushway,setup,2,147.36,209.32,233.18,2.39,147.9
rushway,setup,3,100.62,184.62,219.29,2.25,139
rushway,setup,4,71.7,226.78,247.62,2.22,140.6
rushway,setup,5,105.89,200.74,237.97,2.25,142
goway,setup,1,108.23,185.87,220.19,2.25,94.7
goway,setup,2,249.53,255.25,257.24,2.45,91.9
goway,setup,3,217.99,252.25,257.46,2.25,95.4
goway,setup,4,121.73,264.18,252.7,2.33,95.9
goway,setup,5,165.03,325.45,296.66,2.06,84.6
rushway,steady,1,93.66,204.26,273.63,2.14,147.7
rushway,steady,2,115.74,242.82,253.95,2.23,122.4
rushway,steady,3,74.61,179.23,213.44,2.55,128.6
rushway,steady,4,58.43,181.62,215.43,2.53,144.7
rushway,steady,5,66.17,199.44,212.99,2.78,155.4
goway,steady,1,100.86,288.77,266.28,2.36,89.6
goway,steady,2,94.35,343.35,327.79,1.97,91.5
goway,steady,3,201.45,357.99,317.22,2.03,99.4
goway,steady,4,350.72,359.8,286.96,1.91,89.7
goway,steady,5,112.3,260.19,246.36,2.25,97.6
