impl,mode,sample,c1_mib_s,c8_mib_s,c32_mib_s,cpu_s,rss_peak_mb
goway,setup,1,182.15,344.02,292.16,1.86,92.6
goway,setup,2,357.52,371.3,341.83,1.7,90.1
goway,setup,3,304.47,207.74,196.06,2.44,90.4
goway,setup,4,158.37,242.67,206.33,2,93.9
goway,setup,5,178.3,219.71,218.54,1.89,92.6
goway,setup,6,128.45,211.15,219.74,2.06,111.3
goway,setup,7,219.74,200.36,242.41,1.91,98.1
goway,setup,8,122.73,273.74,258.15,1.67,99
goway,setup,9,117.44,258.11,260.92,1.83,90.5
goway,setup,10,160.1,209.18,211.23,2.41,99.1
goway,steady,1,261.97,205.81,207.61,2.44,105
goway,steady,2,120.29,216.38,193.24,2.19,88.9
goway,steady,3,149.89,228.49,206.87,2.17,94.6
goway,steady,4,304.76,264.69,249.6,2.11,94
goway,steady,5,372.42,243.81,254.61,1.86,94.9
goway,steady,6,290.82,295.11,121.55,2.33,86.4
goway,steady,7,309.96,160.85,103.27,2.98,87.2
goway,steady,8,184.75,144.92,140.96,2.58,97.6
goway,steady,9,220.5,123.11,132.29,2.77,92.5
goway,steady,10,238.71,190.11,177.47,2.45,97.1
